"V1" "V2" "V3" "V4" "V5" "V6"
"1" "C" "V" "-1" "V" "C" "V"
"2" "C" "V" "-1" "V" "C" "V"
"3" "C" "V" "-1" "V" "C" "V"
"4" "C" "V" "-1" "V" "C" "V"
"5" "C" "V" "-1" "V" "C" "V"
"6" "C" "V" "-1" "V" "C" "V"
"7" "C" "V" "-1" "V" "C" "V"
"8" "C" "V" "-1" "V" "C" "-1"
"9" "C" "V" "-1" "-1" "C" "-1"
"10" "C" "V" "-1" "-1" "C" "-1"
"11" "C" "V" "-1" "-1" "C" "-1"
"12" "C" "V" "-1" "V" "C" "V"
"13" "C" "V" "-1" "V" "C" "V"
"14" "C" "V" "-1" "V" "C" "V"
"15" "C" "V" "-1" "V" "C" "V"
"16" "C" "V" "-1" "V" "C" "V"
"17" "C" "V" "-1" "V" "C" "V"
"18" "C" "V" "-1" "V" "C" "V"
"19" "C" "V" "-1" "V" "C" "V"
"20" "C" "V" "-1" "V" "C" "V"
"21" "C" "V" "-1" "V" "C" "V"
"22" "C" "V" "-1" "V" "C" "V"
"23" "C" "V" "-1" "V" "C" "V"
"24" "C" "V" "-1" "V" "C" "V"
"25" "C" "V" "-1" "V" "C" "V"
"26" "C" "V" "-1" "V" "C" "V"
"27" "C" "V" "-1" "V" "C" "V"
"28" "C" "V" "-1" "V" "C" "V"
"29" "C" "V" "-1" "V" "C" "V"
"30" "C" "V" "-1" "V" "C" "V"
"31" "C" "V" "-1" "V" "C" "V"
"32" "C" "V" "-1" "V" "C" "V"
"33" "C" "V" "-1" "V" "C" "V"
"34" "C" "V" "-1" "V" "C" "V"
"35" "C" "V" "-1" "V" "C" "V"
"36" "C" "V" "-1" "V" "C" "V"
"37" "C" "V" "-1" "V" "C" "V"
"38" "C" "V" "-1" "V" "C" "V"
"39" "C" "V" "-1" "V" "C" "V"
"40" "C" "V" "-1" "V" "C" "V"
"41" "C" "V" "-1" "V" "C" "V"
"42" "C" "V" "-1" "V" "C" "V"
"43" "C" "V" "-1" "V" "C" "V"
"44" "C" "V" "-1" "V" "C" "V"
"45" "C" "V" "-1" "V" "C" "V"
"46" "C" "V" "-1" "V" "C" "V"
"47" "C" "V" "-1" "V" "C" "V"
"48" "C" "V" "-1" "V" "C" "V"
"49" "C" "V" "-1" "V" "C" "V"
"50" "C" "V" "-1" "V" "C" "V"
"51" "C" "V" "-1" "V" "C" "V"
"52" "C" "V" "-1" "V" "C" "V"
"53" "C" "V" "-1" "V" "C" "V"
"54" "C" "V" "-1" "V" "C" "V"
"55" "C" "V" "-1" "V" "C" "V"
"56" "C" "V" "-1" "V" "C" "V"
"57" "C" "V" "-1" "V" "C" "V"
"58" "C" "V" "-1" "V" "C" "V"
"59" "C" "V" "-1" "V" "C" "V"
"60" "C" "V" "-1" "V" "C" "V"
"61" "C" "V" "-1" "V" "C" "V"
"62" "C" "V" "-1" "V" "C" "V"
"63" "C" "V" "-1" "V" "C" "V"
"64" "C" "V" "-1" "V" "C" "V"
"65" "C" "V" "-1" "V" "C" "V"
"66" "C" "V" "-1" "V" "C" "V"
"67" "C" "V" "-1" "V" "C" "V"
"68" "C" "V" "-1" "V" "C" "V"
"69" "C" "V" "-1" "V" "C" "V"
"70" "C" "V" "-1" "V" "C" "V"
"71" "C" "V" "-1" "V" "C" "V"
"72" "C" "V" "-1" "V" "C" "V"
"73" "C" "V" "-1" "V" "C" "V"
"74" "C" "V" "-1" "V" "C" "V"
"75" "C" "V" "-1" "V" "C" "V"
"76" "C" "V" "-1" "V" "C" "V"
"77" "C" "V" "-1" "V" "C" "V"
"78" "C" "V" "-1" "V" "C" "V"
"79" "C" "V" "-1" "V" "C" "V"
"80" "C" "V" "-1" "V" "C" "V"
"81" "C" "V" "-1" "V" "C" "V"
"82" "C" "V" "-1" "V" "C" "V"
"83" "C" "V" "-1" "-1" "C" "V"
"84" "C" "V" "-1" "-1" "C" "V"
